ID,geneName,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,go_term
Vitvi18g02490,Vitvi18g02490,456.5535,1.432106,0.1621479,8.832095,1.03E-18,0,#N/A
Vitvi19g00768,Vitvi19g00768,170.9472,1.466618,0.1664011,8.813753,1.21E-18,0,#N/A
Vitvi12g02353,Vitvi12g02353,15.83102,5.040111,0.5728425,8.798423,1.39E-18,0,#N/A
Vitvi16g01352,Vitvi16g01352,1737.912,2.138977,0.2432737,8.792468,1.46E-18,0,#N/A
Vitvi04g00256,Vitvi04g00256,820.6597,-1.068965,0.1216158,-8.789688,1.50E-18,0,#N/A
Vitvi05g00071,Vitvi05g00071,1733.703,2.286322,0.2604019,8.779972,1.64E-18,0,GO:0006952
Vitvi01g01998,Vitvi01g01998,140.3365199,-1.206071621,0.13737128,-8.779649013,1.64E-18,0,GO:0008168
Vitvi10g01035,Vitvi10g01035,193.0463,1.437886,0.1638819,8.773917,1.73E-18,0,#N/A
Vitvi03g00217,Vitvi03g00217,212.3276,1.081385,0.1233328,8.768025,1.82E-18,0,GO:0005507
Vitvi05g01883,Vitvi05g01883,56.96404,2.06712,0.2359187,8.762001,1.92E-18,0,GO:0004672
Vitvi03g01760,Vitvi03g01760,102.497,2.152271,0.2458433,8.754647,2.05E-18,0,#N/A
Vitvi08g00107,VviMYB167,64.76911,2.311626,0.2643277,8.745304,2.22E-18,0,GO:0003677
Vitvi09g00448,Vitvi09g00448,47.33477,-2.307195,0.2639157,-8.742165,2.29E-18,0,GO:0016491
Vitvi04g00836,Vitvi04g00836,90.90207,1.601435,0.1838489,8.710604,3.02E-18,0,#N/A
Vitvi04g00880,GST4,123.5309,2.671312,0.3067303,8.708991,3.07E-18,0,GO:0005515
Vitvi11g01491,Vitvi11g01491,70.04946,2.605851,0.2996778,8.695507,3.45E-18,0,GO:0005975
Vitvi11g01645,Vitvi11g01645,154.3908,-1.452666,0.1671295,-8.691858,3.57E-18,0,#N/A
Vitvi15g00597,Vitvi15g00597,28.00465,4.331456,0.4989082,8.681871,3.89E-18,0,GO:0016758
Vitvi02g00263,Vitvi02g00263,58.95014883,2.131129315,0.24563557,8.675980088,4.10E-18,0,GO:0008171
Vitvi11g00731,Vitvi11g00731,66.66957,2.618159,0.3018785,8.672891,4.21E-18,0,#N/A
Vitvi10g00605,Vitvi10g00605,291.2473,1.033231,0.1193717,8.655576,4.90E-18,0,GO:0004672
Vitvi07g02246,Vitvi07g02246,5815.944,-1.262946,0.1462792,-8.633806,5.93E-18,0,#N/A
Vitvi05g01456,Vitvi05g01456,67.94736,3.941138,0.456557,8.632302,6.01E-18,0,#N/A
Vitvi06g00417,Vitvi06g00417,85.91182,1.568617,0.1819059,8.62323,6.51E-18,0,GO:0003677
Vitvi03g01869,Vitvi03g01869,762.3867,1.50989,0.1751681,8.619664,6.72E-18,0,GO:0016758
Vitvi18g00023,Vitvi18g00023,94.37843,1.673552,0.1941729,8.618878,6.76E-18,0,#N/A
Vitvi10g00063,Vitvi10g00063,687.9683,1.833219,0.2130417,8.604977,7.63E-18,0,GO:0003700
Vitvi15g01582,Vitvi15g01582,31.23614,2.77044,0.3220813,8.60168,7.86E-18,0,GO:0004144
Vitvi14g01783,Vitvi14g01783,64.8875,2.599891,0.3024221,8.596896,8.19E-18,0,GO:0016021
Vitvi09g02014,Vitvi09g02014,4525.968,-1.180367,0.1373199,-8.595746,8.27E-18,0,#N/A
Vitvi17g00601,Vitvi17g00601,218.5767,-2.719869,0.3168419,-8.58431,9.14E-18,0,#N/A
Vitvi18g01086,Vitvi18g01086,80.25694,2.015023,0.2349694,8.575685,9.85E-18,0,GO:0003677
Vitvi08g02300,Vitvi08g02300,46.48826,-2.183112,0.2546559,-8.572792,1.01E-17,0,#N/A
Vitvi02g00481,Vitvi02g00481,69.97760211,1.588054258,0.185240213,8.572945552,1.01E-17,0,#N/A
Vitvi09g00219,Vitvi09g00219,416.4463,-1.035223,0.1208042,-8.569429,1.04E-17,0,GO:0030246
Vitvi04g00798,Vitvi04g00798,102.1538,2.565653,0.2994875,8.566809,1.06E-17,0,GO:0004866
Vitvi04g01848,Vitvi04g01848,145.5169,1.2424,0.1450996,8.562397,1.11E-17,0,#N/A
Vitvi07g02470,Vitvi07g02470,110.3086,1.604108,0.1875538,8.55279,1.20E-17,0,#N/A
Vitvi06g00555,Vitvi06g00555,88.58089,1.416486,0.1656488,8.551142,1.22E-17,0,#N/A
Vitvi08g01617,Vitvi08g01617,128.3799,1.567798,0.1834718,8.545168,1.28E-17,0,GO:0010411
Vitvi18g03100,Vitvi18g03100,4675.003,-1.852476,0.216877,-8.541601,1.32E-17,0,GO:0004869
Vitvi02g00483,Vitvi02g00483,337.7404786,1.277831829,0.149686879,8.536698966,1.38E-17,0,GO:0004672
Vitvi12g02470,Vitvi12g02470,2263.567,-1.472796,0.1728382,-8.521244,1.58E-17,0,#N/A
Vitvi10g01859,Vitvi10g01859,357.1236,1.201697,0.141084,8.517601,1.63E-17,0,#N/A
Vitvi07g00154,Vitvi07g00154,421.6072,-1.174963,0.1380175,-8.513151,1.69E-17,0,GO:0008033
Vitvi06g00412,Vitvi06g00412,159.7541,1.4666,0.172647,8.494789,1.98E-17,0,GO:0015267
Vitvi14g01336,Vitvi14g01336,730.4282,2.118369,0.249579,8.48777,2.11E-17,0,#N/A
Vitvi05g00785,Vitvi05g00785,97.50493,-1.901731,0.224209,-8.481957,2.21E-17,0,GO:0016021
Vitvi14g00169,Vitvi14g00169,1381.603,2.223397,0.2623603,8.474593,2.36E-17,0,GO:0005515
Vitvi05g00468,Vitvi05g00468,3025.602,1.021735,0.1206207,8.470645,2.44E-17,0,GO:0016020
Vitvi04g01794,Vitvi04g01794,909.7086,1.462514,0.1727829,8.46446,2.57E-17,0,#N/A
